source_system,primitive,native_terminology,chinese_terminology,discipline,year,solves,does_not_solve,authority_location,decision_location,state_location,identity_model,naming_model,location_model,routing/path_model,world_state_model,agency_model,trust_model,authorization_model,failure_semantics,privacy_model,adversary_model,determinism,replayability,observability,rollback,deployment_model,implementation_status,open_source_status,license,active_maintenance,real_deployment,Timelabs_overlap,reusable_directly,wrappable_as_provider,extractable_primitive,benchmark_only,historical_prior_art,reject,unknown,reason,sources,confidence,contradictory_evidence
Open Policy Agent,Policy decision and enforcement split,Rego PDP/PEP,策略决策点/策略执行点,policy-engine,2016,"central policy decisions and decoupled enforcement","does not by itself provide immutable evidence chain",policy service,policy eval engine,external datastore,workload/service identity,policy package names,n/a,n/a,n/a,human+service,zero-trust style central policy,allow/deny decision output,"policy deny; integration-dependent fallback",input minimization by policy,misconfiguration/policy bypass risk,deterministic for same input,high,decision logs available,external,library+daemon,IMPLEMENTED,yes,Apache-2.0,yes,yes,"Omnia policy, constraint, bounded action",yes,yes,yes,no,yes,no,no,"Strong semantic match for policy gate; needs separate evidence substrate",https://www.openpolicyagent.org/docs/latest/,medium,none found
AWS Cedar,Authorization policy language,Cedar ABAC,RBAC/ABAC 策略语言,policy-language,2023,"fine-grained authorization with explicit principals/actions/resources","not a full provenance/event system",application control plane,policy evaluator,application state,principal/resource/action tuple,resource/action names,n/a,n/a,n/a,human+service,typed policy model,permit/forbid semantics,"deny on no permit",depends on integrator,policy authoring mistakes,deterministic,high,decision trace optional,external,library/service,IMPLEMENTED,partial,Apache-2.0,yes,yes,"Omnia policy + authority ceiling",yes,yes,yes,no,yes,no,no,"Good typed policy surface for provider wrapping",https://www.cedarpolicy.com/,medium,none found
in-toto,Signed software supply-chain link metadata,layout/link metadata,软件供应链溯源签名,provenance,2019,"provenance attestations across build steps","not runtime network mutation safety",project owners and keys,layout verification step,metadata artifacts,key identity via signing keys,step names,n/a,n/a,n/a,human+ci,signature trust roots,layout rule authorization,"verification fail blocks promotion",metadata may leak unless minimized,supply-chain tampering,deterministic verification,high,strong,audit by artifacts,not core concern,tooling,IMPLEMENTED,yes,Apache-2.0,yes,yes,"Omnia evidence provider and receipt semantics",yes,yes,yes,no,yes,no,no,"Direct fit for evidence and claim/receipt chain",https://in-toto.io/,medium,none found
SLSA,Build integrity maturity framework,SLSA levels,软件供应链安全等级,assurance framework,2021,"standardized provenance maturity and hardening targets","not runtime arbitration",org governance,CI/security governance,attestation stores,build system identity,artifact names,n/a,n/a,n/a,human+ci,attestation chain,policy gates by level,"insufficient level fails policy",focused on build metadata,insider/supply-chain attacker,deterministic checks per predicate,high,strong,framework-level,external,spec+ecosystem,SPECIFIED,yes,CC-BY-like docs,yes,yes,"Omnia evidence tiering analogue",no,yes,yes,yes,yes,no,no,"Useful benchmark and vocabulary alignment",https://slsa.dev/,medium,none found
TUF,Secure update framework,root/targets/snapshot/timestamp roles,更新框架/根信任角色,security-updates,2010,"key rotation, threshold signatures, rollback/freeze protections","not a world model or routing protocol",signed metadata roles,client verifier,metadata+mirror states,key hierarchy,target metadata names,mirror endpoints,n/a,n/a,human+client,threshold trust model,signed role delegation,"rollback/freeze attack mitigations",minimal metadata; package confidentiality external,repository compromise,deterministic verification,high,strong,yes,partial (update rollback),library+spec,IMPLEMENTED,yes,MIT,yes,yes,"Omnia authority and rollback contracts",yes,yes,yes,no,yes,no,no,"Strong predecessor for authority delegation + rollback",https://theupdateframework.io/,medium,none found
Sigstore Rekor,Transparency log for signed artifacts,append-only Merkle transparency log,透明日志,transparency log,2021,"tamper-evident append-only artifact log","does not validate business semantics",log operators,verifier clients,Merkle tree log,keyless or key identity,artifact digest naming,n/a,n/a,n/a,human+ci,CT-style transparency,signature verification,"inclusion proof failure",public metadata tradeoffs,log equivocation,deterministic inclusion proofs,high,very strong,yes,no,service+cli,IMPLEMENTED,yes,Apache-2.0,yes,yes,"Omnia receipt/provenance neighbor",yes,yes,yes,no,yes,no,no,"Matches evidence-chain primitive",https://www.sigstore.dev/,medium,none found
Event Sourcing (pattern),Authoritative append log + projections,event stream + read models,事件溯源 + 读模型,software architecture,2000,"source-of-truth log and rebuildable projections","does not guarantee claim truth",application owner,command handlers,event store,domain IDs,event types,n/a,n/a,possible with extensions,human+service,application trust,application policy,"depends on handlers",payload minimization required,event forgery if controls weak,deterministic if handlers deterministic,high,strong,high,via compensating events,library/pattern,IMPLEMENTED,yes,varies,yes,yes,"Omnia log.0 + projector semantics",yes,yes,yes,no,yes,no,no,"Closest semantic ancestor to codex line",https://learn.microsoft.com/en-us/azure/architecture/patterns/event-sourcing,medium,none found
SCION,Path-aware inter-domain networking,ISD/AS, path segments,自治域/路径感知网络,network architecture,2017,"path control, isolation domains, control-plane trust agility","not endpoint application policy language",ISD trust roots,end host + control plane,AS/path segment state,PKI/AS identity,path segments and opaque fields,locator plus path context,explicit path selection,n/a,human+operator,root-of-trust per ISD,certificate/path policy,"multipath/failover by path selection",metadata exposure depends config,BGP hijack-class threats,high for path selection semantics,medium,strong,partial,yes,protocol+router software,IMPLEMENTED,yes,Apache-2.0,yes,limited production,"Blueshoes/MBSD path policy + trust roots",partial,yes,yes,yes,yes,no,no,"High-value for path choice and trust semantics",https://scion-architecture.net/,medium,none found
HIP/IPv6,HIP host identity separation,HIT and locator separation,主机身份协议/身份位置分离,network protocol,2015,"cryptographic host identity decoupled from locator","not full censorship resistance",endpoint key owner,HIP handshake endpoints,endpoint/IP stack,public-key host identity,HIT naming,IP locator,path by underlay,n/a,endpoint agent,cryptographic trust,association authorization,"mobility/multihoming session continuity",identity linkability tradeoff,spoofing and locator changes,medium,medium,medium,partial,protocol+kernel/userspace,IMPLEMENTED,yes,BSD-like/IETF RFC,partial,niche,"Blueshoes identity versus naming split",partial,yes,yes,yes,yes,no,no,"Strong conceptual match for identity/locator split",RFC7401 high,none found
LISP,Endpoint ID vs routing locator,EID/RLOC mapping,标识与定位分离,network protocol,2022,"scalable mapping-based locator separation","not confidentiality/trust root by default",mapping system operators,ingress/egress routers,mapping database,EID identity,EID naming,RLOC locator,mapped encapsulation,n/a,network operators,operator trust,map registration auth,"mapping failures and stale locators",no payload privacy by itself,mapping hijack risks,high in control logic,medium,medium,partial,protocol+routers,IMPLEMENTED,yes,IETF RFC,yes,yes,"MBSD/Blueshoes locator discovery analog",partial,yes,yes,yes,yes,no,no,"Useful for locator discovery and mobility semantics",RFC9300 high,none found
ILNP,Identifier-locator split in IPv6,Node Identifier + Locator,标识定位分离协议,network protocol,2012,"multihoming/mobility with split semantics","limited deployment",endpoint/stack designers,end systems,host stack,node identifier,node naming,locator value,underlay route,n/a,endpoint stack,DNS+protocol trust,stack policy,"fallback to IPv6 semantics",same as IP layer,classic routing attacks,high if implemented,medium,medium,partial,protocol research,SPECIFIED,yes,RFC text,low,limited,"Blueshoes naming/location decomposition",no,partial,yes,yes,yes,no,no,"Good ontology neighbor despite low deployment",RFC6740 high,none found
NDN/CCNx,Data-centric naming and forwarding,Named Data,信息中心网络/内容中心网络,network architecture,2019,"name-based retrieval and in-network caching","not host identity continuity model",content producers and routers,forwarder strategy layer,content store and PIT,content signatures,content names,name as locator proxy,strategy layer,named content graph,consumer/producer agents,data signature trust,key-based validation,"cache poisoning mitigations vary",name privacy challenges,cache poisoning/interest flooding,medium,medium,strong,n/a,research+prototype,IMPLEMENTED,yes,mixed,yes,pilots,"World model distribution and content-address semantics",no,yes,yes,yes,yes,no,no,"Expands design space beyond host-centric routing",RFC8569 medium,none found
libp2p + Kademlia,Peer identity/discovery/routing toolkit,PeerID + DHT,节点发现/分布式哈希路由,p2p framework,2018,"peer discovery, transport abstraction, NAT traversal","not deterministic governance policy",key owner per node,peer protocols,distributed DHT,key-based peer IDs,peer IDs and multiaddrs,multiaddr/relay,dht pathing,n/a,autonomous peers,web-of-trust or bootstrap trust,protocol-specific,"partition and churn semantics",depends overlay/privacy mode,sybil/eclipse risks,medium,medium,strong,partial,p2p library,IMPLEMENTED,yes,MIT/Apache,yes,yes,"Blueshoes rendezvous/discovery primitives",yes,yes,yes,yes,yes,no,no,"Provider-wrap candidate for discovery stack",https://libp2p.io/,medium,none found
Yggdrasil,Encrypted IPv6 overlay mesh,spanning-tree mesh with key-derived addresses,加密网状覆盖网络,overlay network,2020,"self-organizing encrypted overlay routing","not policy governance",node key owners,routing algorithm,node table,key-derived identity,crypto address naming,overlay coordinates,path via spanning tree,n/a,node agent,crypto trust at edge,peer trust policies,"partition handling by overlay",traffic analysis still possible,censorship/interference resilience,high in algorithm,medium,strong,limited by overlay reset,daemon+overlay,IMPLEMENTED,yes,LGPL,yes,yes,"Blueshoes censorship/interference resistance",partial,yes,yes,yes,yes,no,no,"Alternative architecture to conventional VPN meshes",https://yggdrasil-network.github.io/,medium,none found
cjdns,Encrypted IPv6 + DHT mesh,public-key IPv6 + switch routing,加密DHT网,overlay network,2011,"encrypted mesh, key-based identity","not centralized policy",node keys,distributed routing,node tables,key identity,key-derived address,overlay coords,DHT style,n/a,node agents,peer cryptographic trust,peering authorization,"churn-related instability",traffic analysis remains,sybil/route manipulation risks,medium,medium,medium,partial,daemon+overlay,IMPLEMENTED,yes,GPL,partial,yes,"Blueshoes identity/discovery semantic neighbor",partial,yes,yes,yes,yes,no,no,"Alternative trust and naming model",https://github.com/cjdelisle/cjdns,medium,none found
WireGuard,Minimal VPN with cryptokey routing,cryptokey routing,加密隧道/密钥路由,network security,2016,"simple high-performance encrypted tunnels","not service discovery or arbitration",key owners,kernel/userspace wg,key config,public key identity,interface/peer naming,endpoint locators,static/roaming path,n/a,operators,strong crypto trust,key-based peer allowlist,"fail-closed tunnel rules",metadata visible to endpoint and network,key theft/endpoint compromise,high,medium,good through tooling,manual rollback,kernel/userspace,IMPLEMENTED,yes,GPLv2,yes,massive,"MBSD tunnel substrate primitive",yes,yes,yes,no,yes,no,no,"Direct provider candidate",https://www.wireguard.com/,high,none found
Tailscale/Headscale,WireGuard mesh control plane,tailnet identity and ACL,组网控制平面/ACL,overlay control plane,2020,"identity-aware mesh and policy routing","depends on control-plane availability model",control-plane + keys,ACL evaluator + clients,control DB and clients,user/device identity,node and tag naming,DERP+direct locators,path chosen by netcheck,n/a,user+agent,OIDC/PKI trust,ACL policy,"control outage degraded mode",metadata at control plane,control compromise risk,medium,medium,strong,partial,service+oss server,IMPLEMENTED,partial,mixed,yes,yes,"Omnia provider wrapping for identity/routing",partial,yes,yes,yes,yes,no,no,"Strong operational prior art",https://tailscale.com/,medium,none found
ZeroTier,N2N virtual network overlay,planet root + network controller,虚拟组网覆盖网络,overlay network,2015,"L2/L3 virtual networking with global identity","not Tribunal-like evidence semantics",controller+node owner,controller policy,node+controller state,node identity,network and member naming,planet roots and paths,multipath capable,n/a,node agents,controller trust,membership authorization,"controller outage modes",metadata at controller,planet/controller compromise,medium,medium,strong,partial,daemon+service,IMPLEMENTED,yes,BUSL+source,yes,yes,"Blueshoes discovery and multihoming neighbor",partial,yes,yes,yes,yes,no,no,"Provider-wrap possibility",https://www.zerotier.com/,medium,none found
